int	enum.ECombinationType	int	int[]	LangText	enum.EQuestType	LangText	string	int[]	int[]	enum.EEndQuestDemandType	int[]	int[]	int[]	int	int[]	enum.EAcceptType	enum.ECompleteType	enum.ETimeLimitType	string	int[]	int	int	int	bool
220191		22019		敌方一分未得	6					58	0	24,29	0	1	0					-1				1
220192		22019		获得胜利	6					6	0	24,29	0	1	0					-1				1
220201		22020		曾落后5分及以上	6					68	0	24,29	5	1	0					-1				1
220202		22020		获得胜利	6					6	0	24,29	0	1	0					-1				1
220211		22021		全程领先	6					69	0	24,29	0	1	0					-1				1
220212		22021		获得胜利	6					6	0	24,29	0	1	0					-1				1
220331		22033		单局上传达到70分	6					16	0	10	70	1	0					-1				
220332		22033		获得胜利	6					6	0	10	0	1	0					-1				
220351		22035		分差未大于等于15	6					75	0	10	15	1	0					-1				
220352		22035		获得胜利	6					6	0	10	0	1	0					-1				
220371		22037		对手得分小于15	4					58	0	10	14	1	0					-1				
220372		22037		获得胜利	4					6	0	10	0	1	0					-1				
220391		22039		占领次数小于10	6					78	0	32	10	1	0					-1				
220392		22039		获得胜利	6					6	0	32	0	1	0					-1				
220401		22040		全程占据一个据点	6					79	0	32	0	1	0					-1				
220402		22040		获得胜利	6					6	0	32	0	1	0					-1				
220411		22041		对方未接管任意据点	6					59	0	32	0	1	0					-1				
220412		22041		获得胜利	6					6	0	32	0	1	0					-1				
220461		22046		敌方未拆除一个炸弹	6					60	0	19	0	1	0					-1				
220462		22046		获得胜利	6					6	0	19	0	1	0					-1				
220471		22047		率先控制3个中转站	6					82	0	15	0	1	0					-1				
220472		22047		获得胜利	6					6	0	15	0	1	0					-1				
220481		22048		对手推进进度小于10%	6					61	0	15	9	1	0					-1				
220482		22048		获得胜利	6					6	0	15	0	1	0					-1				
