int	string	uint	uint	string	string
2367	AMD FX-7600P	2611	1265	笔记本	amd fx-7600p radeon r7
2368	AMD PRO A6-8570E	1559	1264	台式机	amd pro a6-8570e
2369	Intel Pentium G6960 @ 2.93GHz	1293	1264	台式机	intel pentium g6960
2370	Intel Core i5-2435M @ 2.40GHz	2015	1263	笔记本	intel core i5-2435m
2371	Intel Core i3-3130M @ 2.60GHz	1909	1262	笔记本	intel core i3-3130m
2372	AMD A6-5400K APU	1259	1262	台式机	amd a6-5400k
2373	Intel Pentium Silver N5030 @ 1.10GHz	2609	1260	笔记本	intel pentium silver n5030
2374	Intel Core i5-2560M @ 2.70GHz	2131	1259	台式机	intel core i5-2560m
2375	Intel Xeon X5472 @ 3.00GHz	2218	1259	台式机	intel xeon x5472
2376	AMD Athlon X2 280	1327	1258	台式机	amd athlon x2 280
2377	Intel Core2 Duo E8435 @ 3.06GHz	1157	1257	笔记本	intel core2 duo e8435
2378	AMD A4-5300B APU	1235	1256	台式机	amd a4-5300b
2379	Intel Core i3-540 @ 3.07GHz	1513	1256	台式机	intel core i3-540
2380	Intel Core i3-540 @ 3.07GHz	1513	1256	台式机	intel core i3 540
2381	Intel Celeron N6210 @ 1.20GHz	1652	1255	台式机	intel celeron n6210
2382	AMD Phenom II X2 511	1163	1253	台式机	amd phenom ii x2 511
2383	Intel Core i3-3110M @ 2.40GHz	1627	1253	笔记本	intel core i3-3110m
2384	Intel Pentium G840 @ 2.80GHz	1186	1253	台式机	intel pentium g840
2385	Intel Core i5-560M @ 2.67GHz	1891	1251	笔记本	intel core i5-560m
2386	Intel Core i5-560M @ 2.67GHz	1891	1251	笔记本	intel core i5 m 560
2387	Intel Core i3-5020U @ 2.20GHz	2225	1250	笔记本	intel core i3-5020u
2388	MediaTek MT6785V/CC	3227	1250	台式机	mediatek mt6785v/cc
2389	AMD Athlon II X2 255	1173	1249	台式机	amd athlon ii x2 255
2390	Intel Xeon W3520 @ 2.67GHz	2804	1248	台式机	intel xeon w3520
2391	AMD Athlon II X4 555	2439	1248	台式机	amd athlon ii x4 555
2392	AMD Phenom II X6 1405T	3335	1247	台式机	amd phenom ii x6 1405t
2393	Intel Core i5-2430M @ 2.40GHz	2013	1247	笔记本	intel core i5-2430m
2394	AMD A4-4020 APU	1237	1245	台式机	amd a4-4020
2395	Intel Celeron 2970M @ 2.20GHz	1501	1245	笔记本	intel celeron 2970m
2396	Intel Core i5-3317U @ 1.70GHz	1990	1245	笔记本	intel core i5-3317u
2397	AMD PRO A10-8730B	2392	1244	笔记本	amd pro a10-8730b
2398	Intel Xeon E5-2650 @ 2.00GHz	7353	1244	台式机	intel xeon e5-2650
2399	AMD Phenom II X2 B55	1151	1244	台式机	amd phenom ii x2 b55
2400	Intel Xeon E5-2650 @ 2.00GHz	7353	1244	台式机	intel xeon e5-2650 0
2401	Intel Xeon E5-2630 @ 2.30GHz	6064	1241	台式机	intel xeon e5-2630
2402	Intel Xeon E5440 @ 2.83GHz	2361	1241	台式机	intel xeon e5440
2403	Intel Xeon E5640 @ 2.67GHz	3848	1241	台式机	intel xeon e5640
2404	Intel Xeon X3363 @ 2.83GHz	2307	1241	台式机	intel xeon x3363
2405	Intel Xeon E5-2630 @ 2.30GHz	6064	1241	台式机	intel xeon e5-2630 0
2406	AMD Phenom II X4 B95	2353	1240	台式机	amd phenom ii x4 b95
2407	Intel Core i7-2677M @ 1.80GHz	1909	1240	笔记本	intel core i7-2677m
2408	Intel Xeon X3460 @ 2.80GHz	2850	1240	台式机	intel xeon x3460
2409	Intel Xeon E5-4620 @ 2.20GHz	6830	1239	台式机	intel xeon e5-4620
2410	Intel Xeon E5-4620 @ 2.20GHz	6830	1239	台式机	intel xeon e5-4620 0
2411	Intel Core i3-5010U @ 2.10GHz	2182	1238	笔记本	intel core i3-5010u
2412	Intel Xeon X3360 @ 2.83GHz	2351	1238	台式机	intel xeon x3360
2413	Snapdragon 7c @ 2.40 GHz	3074	1238	笔记本	snapdragon 7c
2414	AMD Opteron X3216 APU	1414	1237	台式机	amd opteron x3216
2415	AMD Opteron 2393 SE	1317	1237	台式机	amd opteron 2393 se
2416	Intel Core2 Duo E8400 @ 3.00GHz	1175	1237	台式机	intel core2 duo e8400
2417	AMD Phenom II X4 B45	2233	1235	台式机	amd phenom ii x4 b45
2418	AMD PRO A6-9500B	1371	1235	笔记本	amd pro a6-9500b
2419	Intel Xeon E5-2448L v2 @ 1.80GHz	6774	1235	台式机	intel xeon e5-2448l v2
2420	AMD PRO A6-9500B	1371	1235	笔记本	amd pro a6-9500b r5
2421	AMD PRO A6-9500B	1371	1235	笔记本	"amd pro a6-9500b r5, 6 compute cores 2c+4g"
2422	Intel Xeon E5-2448L v2 @ 1.80GHz	6774	1235	台式机	intel xeon e5-2448l 0
2423	Intel Xeon E5-4640 @ 2.40GHz	7012	1233	台式机	intel xeon e5-4640
2424	AMD Athlon II X2 B26	1172	1233	台式机	amd athlon ii x2 b26
2425	Intel Xeon E5-4640 @ 2.40GHz	7012	1233	台式机	intel xeon e5-4640 0
2426	Intel Xeon E5-4640 @ 2.40GHz	7012	1233	台式机	intel xeon e5-4640 v2
2427	AMD Athlon II X2 260	1103	1231	台式机	amd athlon ii x2 260
2428	AMD Opteron 6344	6069	1231	台式机	amd opteron 6344
2429	AMD Phenom II X2 B57	1099	1231	台式机	amd phenom ii x2 b57
2430	AMD Phenom II X4 B40	2238	1231	台式机	amd phenom ii x4 b40
2431	Intel Core i7-2655LE @ 2.20GHz	1999	1231	台式机	intel core i7-2655le
2432	Intel Core2 Extreme Q6850 @ 3.00GHz	2292	1231	台式机	intel core2 extreme q6850
2433	Intel Core i5-750 @ 2.67GHz	2496	1231	台式机	intel core i5-750
2434	Intel Core i5-750 @ 2.67GHz	2496	1231	台式机	intel core 750
2435	Intel Core i5-750 @ 2.67GHz	2496	1231	台式机	intel core i5 750
2436	Intel Celeron G1610T @ 2.30GHz	1373	1230	台式机	intel celeron g1610t
2437	Intel Pentium G630 @ 2.70GHz	1283	1230	台式机	intel pentium g630
2438	MediaTek MT6779V/CE	2881	1230	台式机	mediatek mt6779v/ce
2439	Intel Pentium E6500 @ 2.93GHz	1125	1228	台式机	intel pentium e6500
2440	Intel Xeon X3450 @ 2.67GHz	2818	1228	台式机	intel xeon x3450
2441	AMD Phenom II X6 1035T	2970	1228	台式机	amd phenom ii x6 1035t
2442	Intel Pentium E6500 @ 2.93GHz	1125	1228	台式机	pentium dual-core e6500
2443	AMD Athlon X3 455	1783	1227	台式机	amd athlon x3 455
2444	AMD Phenom II X2 550	1155	1227	台式机	amd phenom ii x2 550
2445	AMD A8-3870K APU	2310	1227	台式机	amd a8-3870k
2446	AMD Phenom II X4 945	2313	1227	台式机	amd phenom ii x4 945
2447	AMD A8-3870K APU	2310	1227	台式机	amd a8-3870
2448	Intel Core2 Duo T9800 @ 2.93GHz	1188	1226	笔记本	intel core2 duo t9800
2449	AMD Athlon X4 640	2115	1224	台式机	amd athlon x4 640
2450	AMD PRO A12-8830B	2297	1224	笔记本	amd pro a12-8830b
2451	Intel Celeron 1020E @ 2.20GHz	1406	1224	笔记本	intel celeron 1020e
2452	Intel Xeon E5649 @ 2.53GHz	5229	1224	台式机	intel xeon e5649
2453	Intel Core i7-920 @ 2.67GHz	2792	1224	台式机	intel core i7-920
2454	AMD Athlon II X3 440	1718	1224	台式机	amd athlon ii x3 440
2455	Intel Core i7-920 @ 2.67GHz	2792	1224	台式机	intel core i7 920
2456	Intel Core i5-2410M @ 2.30GHz	1960	1223	笔记本	intel core i5-2410m
2457	Intel Xeon X5365 @ 3.00GHz	2331	1223	台式机	intel xeon x5365
2458	Intel Xeon E-2276ML @ 2.00GHz	6353	1222	台式机	intel xeon e-2276ml
2459	Intel Xeon E3-1265L @ 2.40GHz	3181	1221	台式机	intel xeon e3-1265l
2460	Intel Xeon E3-1265L @ 2.40GHz	3181	1221	台式机	intel xeon e31265l
2461	Intel Core2 Quad Q9550 @ 2.83GHz	2300	1219	台式机	intel core2 quad q9550
2462	Intel Celeron J4025 @ 2.00GHz	1700	1219	台式机	intel celeron j4025
2463	AMD A9-9400	1356	1218	笔记本	amd a9-9400
2464	Intel Pentium 4405U @ 2.10GHz	2105	1218	笔记本	intel pentium 4405u
2465	AMD A9-9400	1356	1218	笔记本	amd a9-9400 radeon r5
2466	AMD A9-9400	1356	1218	笔记本	"amd a9-9400 radeon r5, 5 compute cores 2c+3g"
2467	AMD Phenom II X4 B35	2341	1215	台式机	amd phenom ii x4 b35
2468	AMD A8-3850 APU	2330	1214	台式机	amd a8-3850
2469	Intel Celeron 4305UE @ 2.00GHz	1876	1213	笔记本	intel celeron 4305ue
2470	Intel Core2 Quad Q9500 @ 2.83GHz	2196	1212	台式机	intel core2 quad q9500
2471	AMD Phenom II X4 940	2285	1211	台式机	amd phenom ii x4 940
2472	Intel Xeon E5-2430L v2 @ 2.40GHz	5903	1211	台式机	intel xeon e5-2430l v2
2473	Intel Xeon E5472 @ 3.00GHz	2286	1211	台式机	intel xeon e5472
2474	Intel Pentium 3550M @ 2.30GHz	1358	1210	笔记本	intel pentium 3550m
2475	Intel Xeon E5-2608L v3 @ 2.00GHz	6415	1210	台式机	intel xeon e5-2608l v3
2476	AMD Phenom II X4 B70	2303	1209	台式机	amd phenom ii x4 b70
2477	Intel Xeon E5-2675 v3 @ 1.80GHz	11960	1209	台式机	intel xeon e5-2675 v3
2478	AMD Athlon II X2 B24	1089	1209	台式机	amd athlon ii x2 b24
2479	Intel Core i7-3689Y @ 1.50GHz	1967	1209	笔记本	intel core i7-3689y
2480	Intel Atom x6211E @ 1.30GHz	1833	1208	台式机	intel atom x6211e
2481	Intel Core i7-2630QM @ 2.00GHz	3514	1207	笔记本	intel core i7-2630qm
2482	Intel Xeon L3360 @ 2.83GHz	2306	1207	台式机	intel xeon l3360
2483	AMD Athlon II X4 640	2208	1206	台式机	amd athlon ii x4 640
2484	Intel Core2 Duo E7500 @ 2.93GHz	1112	1206	台式机	intel core2 duo e7500
2485	ARM - 8 Core 1766 MHz	4080	1205	台式机	arm - 8 core 1766 mhz
2486	AMD Athlon II X4 553	2418	1204	台式机	amd athlon ii x4 553
2487	Intel Pentium E6600 @ 3.06GHz	1134	1204	台式机	intel pentium e6600
2488	Intel Pentium E6600 @ 3.06GHz	1134	1204	台式机	pentium dual-core e6600
2489	AMD Athlon II X4 641 Quad-Core	2258	1203	台式机	amd athlon ii x4 641 quad-core
2490	AMD Opteron 6220	4753	1203	台式机	amd opteron 6220
2491	Intel Pentium Silver J5005 @ 1.50GHz	3052	1203	台式机	intel pentium silver j5005
2492	AMD Athlon II X4 641 Quad-Core	2258	1203	台式机	amd athlon ii x4 641
2493	AMD A12-9700P	2418	1202	笔记本	amd a12-9700p
2494	Intel Celeron 3955U @ 2.00GHz	1490	1202	笔记本	intel celeron 3955u
2495	"Qualcomm Technologies, Inc SDM712"	2443	1202	台式机	"qualcomm technologies, inc sdm712"
2496	AMD A12-9700P	2418	1202	笔记本	amd a12-9700p radeon r7
2497	AMD A12-9700P	2418	1202	笔记本	"amd a12-9700p radeon r7, 10 compute cores 4c+6g"
2498	AMD Athlon II X2 250e	1155	1201	台式机	amd athlon ii x2 250e
2499	Intel Celeron N4020C @ 1.10GHz	1600	1201	笔记本	intel celeron n4020c
2500	Intel Pentium G620 @ 2.60GHz	1225	1200	台式机	intel pentium g620
2501	Intel Xeon E5540 @ 2.53GHz	2738	1200	台式机	intel xeon e5540
2502	AMD A6-5350M APU	1141	1199	笔记本	amd a6-5350m
2503	Intel Pentium 2030M @ 2.50GHz	1400	1199	笔记本	intel pentium 2030m
2504	Intel Xeon E5-2450 @ 2.10GHz	7530	1197	台式机	intel xeon e5-2450
2505	Intel Core i5-3439Y @ 1.50GHz	1907	1197	台式机	intel core i5-3439y
2506	Intel Xeon E5-2450 @ 2.10GHz	7530	1197	台式机	intel xeon e5-2450 0
2507	AMD FX-9800P	2434	1196	笔记本	amd fx-9800p
2508	Intel Core2 Duo E6850 @ 3.00GHz	1140	1196	台式机	intel core2 duo e6850
2509	Intel Celeron G550 @ 2.60GHz	1214	1196	台式机	intel celeron g550
2510	AMD FX-9800P	2434	1196	笔记本	amd fx-9800p radeon r7
2511	AMD FX-9800P	2434	1196	笔记本	"amd fx-9800p radeon r7, 12 compute cores 4c+8g"
2512	AMD Phenom II X4 850	2307	1194	台式机	amd phenom ii x4 850
2513	Intel Celeron 6305 @ 1.80GHz	2071	1194	笔记本	intel celeron 6305
2514	AMD Phenom II X4 850	2307	1194	台式机	amd athlon x4 850 quad core
2515	AMD FirePro A320 APU	2153	1193	台式机	amd firepro a320
2516	Intel Core2 Quad Q9505 @ 2.83GHz	2050	1192	台式机	intel core2 quad q9505
2517	AMD Athlon X3 435	1781	1192	台式机	amd athlon x3 435
2518	Intel Pentium E5700 @ 3.00GHz	1061	1190	台式机	intel pentium e5700
2519	Intel Pentium E5700 @ 3.00GHz	1061	1190	台式机	pentium dual-core e5700
2520	AMD Athlon II X3 435	1682	1189	台式机	amd athlon ii x3 435
2521	Intel Core i5-2515E @ 2.50GHz	1882	1189	台式机	intel core i5-2515e
2522	MT6875	4393	1187	台式机	mt6875
2523	AMD Ryzen Embedded V1500B	4584	1186	台式机	amd ryzen embedded v1500b
2524	Apple A9	2054	1186	台式机	apple a9
2525	AMD A4-4000 APU	1166	1183	台式机	amd a4-4000
2526	Intel Core i5-2510E @ 2.50GHz	1889	1183	笔记本	intel core i5-2510e
2527	AMD Opteron 4284	4665	1181	台式机	amd opteron 4284
2528	T618	2737	1181	台式机	t618
2529	Intel Xeon E5630 @ 2.53GHz	3730	1180	台式机	intel xeon e5630
2530	AMD Phenom II X4 973	2204	1180	台式机	amd phenom ii x4 973
2531	Intel Xeon D-1539 @ 1.60GHz	7175	1179	台式机	intel xeon d-1539
2532	"Qualcomm Technologies, Inc SDM710"	2560	1179	台式机	"qualcomm technologies, inc sdm710"
2533	Intel Core i3-530 @ 2.93GHz	1472	1178	台式机	intel core i3-530
2534	Intel Core m3-6Y30 @ 0.90GHz	2164	1178	笔记本	intel core m3-6y30
2535	Intel Core i3-530 @ 2.93GHz	1472	1178	台式机	intel core i3 530
2536	Intel Core i3-4120U @ 2.00GHz	1948	1177	笔记本	intel core i3-4120u
2537	AMD A6-9225	1335	1176	笔记本	amd a6-9225
2538	Intel Celeron 1020M @ 2.10GHz	1275	1176	笔记本	intel celeron 1020m
2539	AMD A6-9225	1335	1176	笔记本	amd a6-9225 radeon r4
2540	AMD A6-9225	1335	1176	笔记本	"amd a6-9225 radeon r4, 5 compute cores 2c+3g"
2541	MT8786V/N	2896	1175	台式机	mt8786v/n
2542	Intel Core2 Duo E8235 @ 2.80GHz	1053	1175	笔记本	intel core2 duo e8235
2543	Intel Pentium G6951 @ 2.80GHz	1383	1173	台式机	intel pentium g6951
2544	Intel Xeon X3353 @ 2.66GHz	2229	1173	台式机	intel xeon x3353
2545	Intel Core i7-940XM @ 2.13GHz	2211	1172	笔记本	intel core i7-940xm
2546	Intel Core i7-940XM @ 2.13GHz	2211	1172	笔记本	intel core i7 x 940
2547	Intel Celeron 3765U @ 1.90GHz	1252	1171	笔记本	intel celeron 3765u
2548	Intel Core i5-480M @ 2.67GHz	1314	1169	笔记本	intel core i5-480m
2549	Intel Core2 Duo E8300 @ 2.83GHz	1051	1169	台式机	intel core2 duo e8300
2550	Intel Xeon L5530 @ 2.40GHz	2522	1169	台式机	intel xeon l5530
2551	AMD Athlon II X2 245e	1131	1169	台式机	amd athlon ii x2 245e
2552	Intel Core i5-480M @ 2.67GHz	1314	1169	笔记本	intel core i5 m 480
2553	Intel Xeon L3426 @ 1.87GHz	2590	1167	台式机	intel xeon l3426
2554	MediaTek MT6779V/CU	2556	1167	台式机	mediatek mt6779v/cu
2555	Intel Celeron J4125 @ 2.00GHz	2985	1166	台式机	intel celeron j4125
2556	AMD Opteron 6376	5572	1165	台式机	amd opteron 6376
2557	AMD Athlon II X2 250	1108	1163	台式机	amd athlon ii x2 250
2558	AMD Athlon II X4 638 Quad-Core	2250	1163	台式机	amd athlon ii x4 638 quad-core
2559	AMD Athlon II X4 638 Quad-Core	2250	1163	台式机	amd athlon ii x4 638
2560	Intel Core i3-6006U @ 2.00GHz	2276	1162	笔记本	intel core i3-6006u
2561	MT6768G	2772	1162	台式机	mt6768g
2562	MT8786V/CA	3095	1162	台式机	mt8786v/ca
2563	AMD Phenom II X3 B75	1560	1161	台式机	amd phenom ii x3 b75
2564	Intel Celeron N4020 @ 1.10GHz	1572	1161	笔记本	intel celeron n4020
2565	AMD Phenom II X2 B53	1137	1161	台式机	amd phenom ii x2 b53
2566	Intel Xeon L5609 @ 1.87GHz	3298	1160	台式机	intel xeon l5609
2567	Intel Core2 Extreme X9100 @ 3.06GHz	1148	1160	笔记本	intel core2 extreme x9100
2568	AMD Phenom X2 Dual-Core GE-6060	1722	1160	台式机	amd phenom x2 dual-core ge-6060
2569	AMD PRO A10-8700B	2299	1159	笔记本	amd pro a10-8700b
2570	Intel Xeon E5645 @ 2.40GHz	4989	1159	台式机	intel xeon e5645
2571	AMD PRO A10-8700B	2299	1159	笔记本	amd pro a10-8700b r6
2572	AMD PRO A10-8700B	2299	1159	笔记本	"amd pro a10-8700b r6, 10 compute cores 4c+6g"
2573	AMD A6-9230	1279	1158	台式机	amd a6-9230
2574	AMD Opteron 6238	5625	1157	台式机	amd opteron 6238
2575	Unisoc T618	2353	1157	台式机	unisoc t618
2576	AMD Opteron 4226	3400	1157	台式机	amd opteron 4226
2577	Intel Core i5-540M @ 2.53GHz	1800	1156	笔记本	intel core i5-540m
2578	Intel Core2 Duo P9700 @ 2.80GHz	1135	1156	笔记本	intel core2 duo p9700
2579	Intel Core2 Duo T9900 @ 3.06GHz	1172	1156	笔记本	intel core2 duo t9900
2580	Intel Xeon D-1567 @ 2.10GHz	10447	1156	台式机	intel xeon d-1567
2581	Intel Xeon E5-2658 @ 2.10GHz	6073	1156	台式机	intel xeon e5-2658
2582	Intel Xeon X3350 @ 2.66GHz	2158	1156	台式机	intel xeon x3350
2583	Intel Xeon E5430 @ 2.66GHz	2210	1156	台式机	intel xeon e5430
2584	Intel Core i5-540M @ 2.53GHz	1800	1156	笔记本	intel core i5 m 540
2585	Intel Xeon E5-2658 @ 2.10GHz	6073	1156	台式机	intel xeon e5-2658 0
2586	Intel Xeon X3440 @ 2.53GHz	2732	1155	台式机	intel xeon x3440
2587	Intel Celeron E3500 @ 2.70GHz	935	1154	台式机	intel celeron e3500
2588	Intel Xeon L5430 @ 2.66GHz	2260	1154	台式机	intel xeon l5430
2589	ARM Cortex-A57 8 Core 1766 MHz	3766	1153	台式机	arm cortex-a57 8 core 1766 mhz
2590	AMD Athlon II X4 635	2146	1152	台式机	amd athlon ii x4 635
2591	Rockchip RK3399	3075	1152	台式机	rockchip rk3399
2592	"Qualcomm Technologies, Inc KHAJE"	3346	1151	台式机	"qualcomm technologies, inc khaje"
2593	Intel Core i5-460M @ 2.53GHz	1291	1150	笔记本	intel core i5-460m
2594	Intel Core i5-460M @ 2.53GHz	1291	1150	笔记本	intel core i5 m 460
2595	AMD A6-9220	1285	1149	笔记本	amd a6-9220
2596	AMD Opteron 4130	2347	1149	台式机	amd opteron 4130
2597	AMD A6-9220	1285	1149	笔记本	amd a6-9220 radeon r4
2598	AMD A6-9220	1285	1149	笔记本	"amd a6-9220 radeon r4, 5 compute cores 2c+3g"
2599	Intel Xeon E5530 @ 2.40GHz	2624	1148	台式机	intel xeon e5530
2600	Intel Core2 Quad Q8400 @ 2.66GHz	2037	1148	台式机	intel core2 quad q8400
2601	Intel Pentium E6300 @ 2.80GHz	1029	1147	台式机	intel pentium e6300
2602	Intel Xeon X3330 @ 2.66GHz	2069	1147	台式机	intel xeon x3330
2603	Intel Pentium E6300 @ 2.80GHz	1029	1147	台式机	pentium dual-core e6300
2604	AMD A4-3420 APU	1080	1146	台式机	amd a4-3420
2605	Intel Core i3-5005U @ 2.00GHz	2021	1146	笔记本	intel core i3-5005u
2606	Intel Celeron 2950M @ 2.00GHz	1264	1144	笔记本	intel celeron 2950m
2607	Intel Core i3-2120T @ 2.60GHz	1486	1144	台式机	intel core i3-2120t
2608	AMD A10-5757M APU	2031	1143	笔记本	amd a10-5757m
2609	AMD Athlon II X4 630	2124	1142	台式机	amd athlon ii x4 630
2610	AMD Phenom II X640 Dual-Core	1165	1142	台式机	amd phenom ii x640 dual-core
2611	AMD Athlon 64 X2 Dual Core 6400+	967	1142	台式机	amd athlon 64 x2 dual core 6400+
2612	Intel Core 860 @ 2.80GHz	2754	1142	台式机	intel core 860
2613	AMD A8-3820 APU	2187	1141	台式机	amd a8-3820
2614	AMD Opteron 4280	4504	1141	台式机	amd opteron 4280
2615	AMD Phenom II X4 925	2209	1140	台式机	amd phenom ii x4 925
2616	AMD Phenom II X4 B93	2136	1140	台式机	amd phenom ii x4 b93
2617	Intel Core2 Quad Q9400 @ 2.66GHz	2084	1138	台式机	intel core2 quad q9400
2618	Intel Pentium Silver N5000 @ 1.10GHz	2582	1136	笔记本	intel pentium silver n5000
2619	Intel Pentium G3450T @ 2.90GHz	2016	1135	台式机	intel pentium g3450t
2620	AMD A10-8700P	2234	1135	笔记本	amd a10-8700p
2621	AMD A10-8700P	2234	1135	笔记本	amd a10-8700p radeon r6
2622	AMD A10-8700P	2234	1135	笔记本	"amd a10-8700p radeon r6, 10 compute cores 4c+6g"
2623	Intel Xeon 5160 @ 3.00GHz	963	1134	台式机	intel xeon 5160
2624	AMD A6-3670 APU	2077	1134	台式机	amd a6-3670
2625	Intel Core2 Quad Q9450 @ 2.66GHz	2129	1132	台式机	intel core2 quad q9450
2626	Intel Pentium E5500 @ 2.80GHz	1007	1131	台式机	intel pentium e5500
2627	Intel Pentium E5500 @ 2.80GHz	1007	1131	台式机	pentium dual-core e5500
2628	Intel Xeon E5462 @ 2.80GHz	2067	1130	台式机	intel xeon e5462
2629	AMD Athlon II X2 B22	1045	1129	台式机	amd athlon ii x2 b22
2630	AMD Athlon X3 440	1438	1129	台式机	amd athlon x3 440
2631	AMD Opteron 6281	7279	1129	台式机	amd opteron 6281
2632	Intel Core2 Duo E8200 @ 2.66GHz	1084	1129	台式机	intel core2 duo e8200
2633	AMD Athlon II X2 245	1051	1128	台式机	amd athlon ii x2 245
2634	AMD Opteron 1222	1089	1128	台式机	amd opteron 1222
2635	ARM Neoverse-N1 80 Core 2600 MHz	18823	1127	台式机	arm neoverse-n1 80 core 2600 mhz
2636	Intel Core2 Duo E8135 @ 2.66GHz	1112	1127	笔记本	intel core2 duo e8135
2637	AMD Opteron 6378	5889	1127	台式机	amd opteron 6378
2638	Intel Celeron G540 @ 2.50GHz	1128	1126	台式机	intel celeron g540
2639	Intel Core2 Duo E8335 @ 2.66GHz	1172	1126	笔记本	intel core2 duo e8335
2640	AMD Opteron 3365	4032	1125	台式机	amd opteron 3365
2641	MT6969T	2228	1125	台式机	mt6969t
2642	Intel Core i7-2635QM @ 2.00GHz	3059	1124	笔记本	intel core i7-2635qm
2643	Intel Core2 Extreme Q6800 @ 2.93GHz	2145	1124	台式机	intel core2 extreme q6800
2644	Intel Xeon 3085 @ 3.00GHz	1070	1124	台式机	intel xeon 3085
2645	AMD A10-5750M APU	1953	1123	笔记本	amd a10-5750m
2646	AMD R-464L APU	1773	1123	台式机	amd r-464l
2647	Unisoc ums512	2558	1122	台式机	unisoc ums512
2648	AMD FX-8100 Eight-Core	4037	1120	台式机	amd fx-8100 eight-core
2649	Intel Core M-5Y10c @ 0.80GHz	1911	1120	笔记本	intel core m-5y10c
2650	AMD FX-8100 Eight-Core	4037	1120	台式机	amd fx-8100
2651	AMD A10-9600P	2259	1119	笔记本	amd a10-9600p
2652	AMD Athlon II X4 631 Quad-Core	2100	1119	台式机	amd athlon ii x4 631 quad-core
2653	AMD Embedded G-Series GX-224IJ Radeon R4E	1271	1119	笔记本	amd embedded g-series gx-224ij radeon r4e
2654	Intel Core i3-4110U @ 1.90GHz	1853	1119	笔记本	intel core i3-4110u
2655	Intel Xeon E5-2630L @ 2.00GHz	5305	1119	台式机	intel xeon e5-2630l
2656	AMD Athlon II X4 631 Quad-Core	2100	1119	台式机	amd athlon ii x4 631
2657	Intel Xeon E5-2630L @ 2.00GHz	5305	1119	台式机	intel xeon e5-2630l 0
2658	AMD A10-9600P	2259	1119	笔记本	amd a10-9600p radeon r5
2659	AMD A10-9600P	2259	1119	笔记本	"amd a10-9600p radeon r5, 10 compute cores 4c+6g"
2660	MediaTek MT6769V/WB	2192	1118	台式机	mediatek mt6769v/wb
2661	Intel Xeon E5-2651 v2 @ 1.80GHz	9216	1118	台式机	intel xeon e5-2651 v2
2662	AMD Sempron 150	597	1117	台式机	amd sempron 150
2663	Intel Core i7-2637M @ 1.70GHz	1792	1117	笔记本	intel core i7-2637m
2664	Intel Xeon L5640 @ 2.27GHz	4626	1117	台式机	intel xeon l5640
2665	MediaTek MT6769V/CB	2333	1117	台式机	mediatek mt6769v/cb
2666	AMD Phenom II X4 820	2065	1116	台式机	amd phenom ii x4 820
2667	Intel Celeron 6305E @ 1.80GHz	1797	1116	台式机	intel celeron 6305e
2668	Intel Core2 Duo P9600 @ 2.66GHz	1078	1116	笔记本	intel core2 duo p9600
2669	Intel Core i7-840QM @ 1.87GHz	1947	1114	笔记本	intel core i7-840qm
2670	Intel Core2 Extreme X9000 @ 2.80GHz	1157	1114	笔记本	intel core2 extreme x9000
2671	Intel Core i7-840QM @ 1.87GHz	1947	1114	笔记本	intel core i7 q 840
2672	Intel Xeon Bronze 3204 @ 1.90GHz	4843	1112	台式机	intel xeon bronze 3204
2673	AMD Athlon II X2 235e	1071	1111	台式机	amd athlon ii x2 235e
2674	Intel Xeon E5-2620 @ 2.00GHz	5290	1111	台式机	intel xeon e5-2620
2675	Intel Xeon E5-2620 @ 2.00GHz	5290	1111	台式机	intel xeon e5-2620 0
2676	AMD Athlon 7850 Dual-Core	1037	1110	台式机	amd athlon 7850 dual-core
2677	HiSilicon Kirin 970	2908	1110	台式机	hisilicon kirin 970
2678	AMD Athlon 7850 Dual-Core	1037	1110	台式机	amd athlon 7850
2679	AMD Athlon X2 215	996	1107	台式机	amd athlon x2 215
2680	Intel Core2 Duo E7400 @ 2.80GHz	995	1107	台式机	intel core2 duo e7400
2681	Intel Xeon E5-2420 @ 1.90GHz	5102	1107	台式机	intel xeon e5-2420
2682	Intel Xeon E5-2430 @ 2.20GHz	5670	1107	台式机	intel xeon e5-2430
2683	AMD Opteron 3380	4134	1107	台式机	amd opteron 3380
2684	Intel Xeon E5-2430 @ 2.20GHz	5670	1107	台式机	intel xeon e5-2430 0
2685	Intel Xeon E5-2420 @ 1.90GHz	5102	1107	台式机	intel xeon e5-2420 0
2686	AMD Phenom II N660 Dual-Core	1068	1106	笔记本	amd phenom ii n660 dual-core
2687	Intel Xeon E5-2628L v2 @ 1.90GHz	7181	1106	台式机	intel xeon e5-2628l v2
2688	AMD Phenom II N660 Dual-Core	1068	1106	笔记本	amd phenom ii n660
2689	Intel Core i5-520M @ 2.40GHz	1726	1105	笔记本	intel core i5-520m
2690	Intel Xeon W3505 @ 2.53GHz	1153	1105	台式机	intel xeon w3505
2691	AMD Athlon II X2 210e	1105	1105	台式机	amd athlon ii x2 210e
2692	Intel Core i5-520M @ 2.40GHz	1726	1105	笔记本	intel core i5 m 520
2693	Intel Celeron 5205U @ 1.90GHz	1462	1104	笔记本	intel celeron 5205u
2694	MediaTek MT6763V/CE	2130	1104	台式机	mediatek mt6763v/ce
2695	Intel Xeon D-1537 @ 1.70GHz	7176	1104	台式机	intel xeon d-1537
